PERIOD A PARAMETER,PERIOD B PARAMETER,ACCTTREE LEVEL03 FRIENDLY NAME,ACCTTREE LEVEL04,ACCT,SPD KEY CODE,SPDTYPE,FUND_CODE,DEPT_ID,PGM_CODE,PROJ_ID,ACTIVITY ID,SUBCLASS_CODE,GM SPONSOR BUDGET,BUDGET CONT,BUDGET TEMP,BUDGET,PERIOD ACTUALS,FY ACTUALS,ACTUALS,BUDGET SPENT PCNT,BUDGET BAL BEFORE ENCUMBS,BUDGET BAL BEFORE ENCUMBS PCNT,ENCUMBS,BUDGET BAL AFTER ENCUMBS1,BUDGET BAL AFTER ENCUMBS1 PCNT,FNA ENCUMBS,TOTAL ENCUMBS,BUDGET BAL AFTER ENCUMBS,BUDGET BAL AFTER ENCUMBS PCNT,PRIOR YEAR ACTUALS,CURRENT/PREVIOUS,ACCTTREE LEVEL0605 SUBTOTALING,ACCTTREE LEVEL04,ACCTTREE LEVEL036,ACCTTREE LEVEL035
1,998,REVENUES,SALES&SRVS EDUCATIONAL ACTIVTS,254703 -- SSEA OTHER SALES,12035031,12035031 -- UMC-RENT-UMC ROOMS,20,10432,25991, , , ,0,0,0,0,0,0,0,,0,,0,0,,0,0,0,,0,,,,,
1,998,REVENUES,SALES&SRVS EDUCATIONAL ACTIVTS,254803 -- SSEA COUPONS,12030744,12030744 -- UMC GAMES AREA II,20,10437,15647, , , ,0,0,920,920,121.25,121.25,121.25,0.13179348,798.75,0.86820652,0,798.75,0.86820652,0,0,798.75,0.86820652,885.65,0.1369051,,,,
1,998,REVENUES,SALES&SRVS EDUCATIONAL ACTIVTS,254803 -- SSEA COUPONS,12035030,12035030 -- UMC-GAMES SP1,20,10437,25990, , , ,0,0,889,889,0,0,0,0,889,1,0,889,1,0,0,889,1,0,,,,,
1,998,REVENUES,SALES&SRVS EDUCATIONAL ACTIVTS,254803 -- SSEA COUPONS,12028972,12028972 -- UMC GAMES AREA I,20,10437,15646, , , ,0,0,920,920,404.15,404.15,404.15,0.43929348,515.85,0.56070652,0,515.85,0.56070652,0,0,515.85,0.56070652,2950.57,0.13697353,,,,
1,998,REVENUES,SALES&SRVS EDUCATIONAL ACTIVTS,254805 -- SSEA 20 OZ.,12035027,12035027 -- UMC GAMES-FOOD AND DRINK,20,10437,25987, , , ,0,0,0,0,-2345.75,-2345.75,-2345.75,,2345.75,,0,2345.75,,0,0,2345.75,,-10746.06,0.21828931,,,,
1,998,REVENUES,SALES&SRVS EDUCATIONAL ACTIVTS,254807 -- SSEA BEER,12035027,12035027 -- UMC GAMES-FOOD AND DRINK,20,10437,25987, , , ,0,0,-58563,-58563,-23138.25,-23138.25,-23138.25,0.39510015,-35424.75,0.60489985,0,-35424.75,0.60489985,0,0,-35424.75,0.60489985,-100036.75,0.2312975,,,,
1,998,REVENUES,SALES&SRVS EDUCATIONAL ACTIVTS,254812 -- SSEA CREDIT UNION,12021719,12021719 -- UMC MAINT & OP III,20,10432,15627, , , ,0,0,0,0,0,0,0,,0,,0,0,,0,0,0,,0,,,,,
1,998,REVENUES,SALES&SRVS EDUCATIONAL ACTIVTS,254812 -- SSEA CREDIT UNION,12035032,12035032 -- UMC-RENT-UMC ATMS,20,10432,25992, , , ,0,0,-14178,-14178,-15045.96,-15045.96,-15045.96,1.06121879,867.96,-0.06121879,0,867.96,-0.06121879,0,0,867.96,-0.06121879,-15257.75,0.98611919,,,,
1,998,REVENUES,SALES&SRVS EDUCATIONAL ACTIVTS,254823 -- SSEA SUBWAY,12035038,12035038 -- UMC-FS-TENANT CLEARING,20,10431,25998, , , ,0,0,0,0,-592.84,-592.84,-592.84,,592.84,,0,592.84,,0,0,592.84,,-859.49,0.68975788,,,,
1,998,REVENUES,SALES&SRVS EDUCATIONAL ACTIVTS,254828 -- SSEA DOMINOS,12035038,12035038 -- UMC-FS-TENANT CLEARING,20,10431,25998, , , ,0,0,0,0,-29.74,-29.74,-29.74,,29.74,,0,29.74,,0,0,29.74,,0,,,,,
1,998,REVENUES,SALES&SRVS EDUCATIONAL ACTIVTS,254829 -- SSEA CAMPUS SNACKS,12035031,12035031 -- UMC-RENT-UMC ROOMS,20,10432,25991, , , ,0,0,0,0,-150,-150,-150,,150,,0,150,,0,0,150,,0,,,,,
1,998,REVENUES,SALES&SRVS EDUCATIONAL ACTIVTS,254832 -- SSEA CANDY,12035027,12035027 -- UMC GAMES-FOOD AND DRINK,20,10437,25987, , , ,0,0,0,0,-98.5,-98.5,-98.5,,98.5,,0,98.5,,0,0,98.5,,-4062.25,0.02424765,,,,
1,998,REVENUES,SALES&SRVS EDUCATIONAL ACTIVTS,254833 -- SSEA NON-STUDENT,12030744,12030744 -- UMC GAMES AREA II,20,10437,15647, , , ,0,0,-3036,-3036,-1381,-1381,-1381,0.45487484,-1655,0.54512516,0,-1655,0.54512516,0,0,-1655,0.54512516,-6552.86,0.21074767,,,,
1,998,REVENUES,SALES&SRVS EDUCATIONAL ACTIVTS,254833 -- SSEA NON-STUDENT,12035028,12035028 -- UMC GAMES-VIDEO GAMES,20,10437,25988, , , ,0,0,0,0,-17.33,-17.33,-17.33,,17.33,,0,17.33,,0,0,17.33,,0,,,,,
1,998,REVENUES,SALES&SRVS EDUCATIONAL ACTIVTS,254833 -- SSEA NON-STUDENT,12028972,12028972 -- UMC GAMES AREA I,20,10437,15646, , , ,0,0,-27600,-27600,-13646.55,-13646.55,-13646.55,0.49444022,-13953.45,0.50555978,0,-13953.45,0.50555978,0,0,-13953.45,0.50555978,-74197.2,0.18392271,,,,
1,998,REVENUES,SALES&SRVS EDUCATIONAL ACTIVTS,254833 -- SSEA NON-STUDENT,12001204,12001204 -- SHOE RENTAL,20,10437,66660, , , ,0,0,-11348,-11348,-4592.5,-4592.5,-4592.5,0.40469686,-6755.5,0.59530314,0,-6755.5,0.59530314,0,0,-6755.5,0.59530314,-24822,0.18501732,,,,
1,998,REVENUES,SALES&SRVS EDUCATIONAL ACTIVTS,254834 -- SSEA STUDENT,12001204,12001204 -- SHOE RENTAL,20,10437,66660, , , ,0,0,-17158,-17158,-8563.25,-8563.25,-8563.25,0.49908206,-8594.75,0.50091794,0,-8594.75,0.50091794,0,0,-8594.75,0.50091794,-33211.6,0.25783913,,,,
1,998,REVENUES,SALES&SRVS EDUCATIONAL ACTIVTS,254834 -- SSEA STUDENT,12028972,12028972 -- UMC GAMES AREA I,20,10437,15646, , , ,0,0,-35030,-35030,-21261.6,-21261.6,-21261.6,0.60695404,-13768.4,0.39304596,0,-13768.4,0.39304596,0,0,-13768.4,0.39304596,-83708.33,0.25399623,,,,
1,998,REVENUES,SALES&SRVS EDUCATIONAL ACTIVTS,254834 -- SSEA STUDENT,12030744,12030744 -- UMC GAMES AREA II,20,10437,15647, , , ,0,0,-8556,-8556,-3123.02,-3123.02,-3123.02,0.36500935,-5432.98,0.63499065,0,-5432.98,0.63499065,0,0,-5432.98,0.63499065,-16117.47,0.19376614,,,,
1,998,REVENUES,SALES&SRVS EDUCATIONAL ACTIVTS,254834 -- SSEA STUDENT,12035028,12035028 -- UMC GAMES-VIDEO GAMES,20,10437,25988, , , ,0,0,0,0,-27.5,-27.5,-27.5,,27.5,,0,27.5,,0,0,27.5,,0,,,,,
1,998,REVENUES,SALES&SRVS EDUCATIONAL ACTIVTS,254836 -- SSEA DISCOUNT-SSEA REV,12000897,12000897 -- CUSG DISCOUNTS,20,10435,62896, , , ,0,0,83298,83298,40734.93,40734.93,40734.93,0.48902651,42563.07,0.51097349,0,42563.07,0.51097349,0,0,42563.07,0.51097349,52899.65,0.77004158,,,,
1,998,REVENUES,SALES&SRVS EDUCATIONAL ACTIVTS,254838 -- SSEA LABOR REVENUE,12035034,12035034 -- UMC-RENT UMC OPERATOR,20,10432,25994, , , ,0,0,-70036,-70036,-8953.55,-8953.55,-8953.55,0.12784211,-61082.45,0.87215789,0,-61082.45,0.87215789,0,0,-61082.45,0.87215789,-14451.53,0.61955724,,,,
1,998,REVENUES,SALES&SRVS EDUCATIONAL ACTIVTS,254840 -- SSEA MISC REV,12015850,12015850 -- UMC MAINT & OP I,20,10432,15630, , , ,0,0,-2720,-2720,-54.72,-54.72,-54.72,0.02011765,-2665.28,0.97988235,0,-2665.28,0.97988235,0,0,-2665.28,0.97988235,-5.8,9.43448276,,,,
1,998,REVENUES,SALES&SRVS EDUCATIONAL ACTIVTS,254840 -- SSEA MISC REV,12014693,12014693 -- UMC GAMES AREA,20,10437,15645, , , ,0,0,0,0,-2270.64,-2270.64,-2270.64,,2270.64,,0,2270.64,,0,0,2270.64,,-556.29,4.08175592,,,,
1,998,REVENUES,SALES&SRVS EDUCATIONAL ACTIVTS,254840 -- SSEA MISC REV,12035028,12035028 -- UMC GAMES-VIDEO GAMES,20,10437,25988, , , ,0,0,-342,-342,0,0,0,0,-342,1,0,-342,1,0,0,-342,1,-295,0,,,,
1,998,REVENUES,SALES&SRVS EDUCATIONAL ACTIVTS,254840 -- SSEA MISC REV,12035029,12035029 -- UMC - SUMMER CAMPS,20,10437,25989, , , ,0,0,-2000,-2000,-66,-66,-66,0.033,-1934,0.967,0,-1934,0.967,0,0,-1934,0.967,-12251.25,0.00538721,,,,
1,998,REVENUES,SALES&SRVS EDUCATIONAL ACTIVTS,254840 -- SSEA MISC REV,12035030,12035030 -- UMC-GAMES SP1,20,10437,25990, , , ,0,0,-55202,-55202,-6007,-6007,-6007,0.10881852,-49195,0.89118148,0,-49195,0.89118148,0,0,-49195,0.89118148,-55517.5,0.10820012,,,,
1,998,REVENUES,SALES&SRVS EDUCATIONAL ACTIVTS,254840 -- SSEA MISC REV,12035038,12035038 -- UMC-FS-TENANT CLEARING,20,10431,25998, , , ,0,0,0,0,-290.37,-290.37,-290.37,,290.37,,0,290.37,,0,0,290.37,,-644.61,0.45045842,,,,
1,998,REVENUES,SALES&SRVS EDUCATIONAL ACTIVTS,254840 -- SSEA MISC REV,12016080,12016080 -- UMC SUPPORT,20,10430,15619, , , ,0,0,-61676,-61676,-66356.28,-66356.28,-66356.28,1.07588495,4680.28,-0.07588495,0,4680.28,-0.07588495,0,0,4680.28,-0.07588495,-67542.06,0.98244383,,,,
1,998,REVENUES,SALES&SRVS EDUCATIONAL ACTIVTS,254840 -- SSEA MISC REV,12035027,12035027 -- UMC GAMES-FOOD AND DRINK,20,10437,25987, , , ,0,0,0,0,0,0,0,,0,,0,0,,0,0,0,,-35.21,0,,,,
1,998,REVENUES,SALES&SRVS EDUCATIONAL ACTIVTS,254840 -- SSEA MISC REV,12035033,12035033 -- UMC-RENT-UMC EQUIPMENT,20,10432,25993, , , ,0,0,0,0,0,0,0,,0,,0,0,,0,0,0,,-128.44,0,,,,
1,998,REVENUES,SALES&SRVS EDUCATIONAL ACTIVTS,254840 -- SSEA MISC REV,12052067,12052067 -- UMC BOARD SCHOLARSHIP,20,10430,31566, , , ,0,0,0,0,-15000,-15000,-15000,,15000,,0,15000,,0,0,15000,,-20500,0.73170732,,,,
1,998,REVENUES,SALES&SRVS EDUCATIONAL ACTIVTS,254840 -- SSEA MISC REV,12010275,12010275 -- SUBWAY,20,10435,15637, , , ,0,0,0,0,0,0,0,,0,,0,0,,0,0,0,,0,,,,,
1,998,REVENUES,SALES&SRVS EDUCATIONAL ACTIVTS,254840 -- SSEA MISC REV,12020401,12020401 -- UMC ADMINISTRATION,20,10430,15621, , , ,0,0,0,0,-649,-649,-649,,649,,0,649,,0,0,649,,-486,1.33539095,,,,
1,998,REVENUES,SALES&SRVS EDUCATIONAL ACTIVTS,254840 -- SSEA MISC REV,12000876,12000876 -- SUBWAY STU LEADERSHIP FUNDS,20,10430,62527, , , ,0,0,0,0,-1848.68,-1848.68,-1848.68,,1848.68,,0,1848.68,,0,0,1848.68,,0,,,,,
1,998,REVENUES,SALES&SRVS EDUCATIONAL ACTIVTS,254840 -- SSEA MISC REV,12025532,12025532 -- UMC FOOD SERVICE I,20,10431,15625, , , ,0,0,-419057,-419057,0,0,0,0,-419057,1,0,-419057,1,0,0,-419057,1,0,,,,,
1,998,REVENUES,SALES&SRVS EDUCATIONAL ACTIVTS,254840 -- SSEA MISC REV,12019440,12019440 -- UMC ART SALES,20,10432,15629, , , ,0,0,-5000,-5000,-5262.51,-5262.51,-5262.51,1.052502,262.51,-0.052502,0,262.51,-0.052502,0,0,262.51,-0.052502,-6556.86,0.80259606,,,,
1,998,REVENUES,SALES&SRVS EDUCATIONAL ACTIVTS,254840 -- SSEA MISC REV,12021440,12021440 -- UMC SCHEDULING,20,10433,15633, , , ,0,0,0,0,0,0,0,,0,,0,0,,0,0,0,,0,,,,,
1,998,REVENUES,SALES&SRVS EDUCATIONAL ACTIVTS,254840 -- SSEA MISC REV,12021718,12021718 -- UMC FOOD SERV III,20,10431,15624, , , ,0,0,0,0,-305513,-305513,-305513,,305513,,0,305513,,0,0,305513,,-224890,1.35849971,,,,
1,998,REVENUES,SALES&SRVS EDUCATIONAL ACTIVTS,254841 -- SSEA FOOD,12035027,12035027 -- UMC GAMES-FOOD AND DRINK,20,10437,25987, , , ,0,0,-12752,-12752,-4041.1,-4041.1,-4041.1,0.31689931,-8710.9,0.68310069,0,-8710.9,0.68310069,0,0,-8710.9,0.68310069,-7896.75,0.51174217,,,,
1,998,REVENUES,SALES&SRVS EDUCATIONAL ACTIVTS,254844 -- SSEA - LOGGIA RENT,12035031,12035031 -- UMC-RENT-UMC ROOMS,20,10432,25991, , , ,0,0,-27038,-27038,-9010,-9010,-9010,0.33323471,-18028,0.66676529,0,-18028,0.66676529,0,0,-18028,0.66676529,-9275,0.97142857,,,,
1,998,REVENUES,SALES&SRVS EDUCATIONAL ACTIVTS,254846 -- SSEA ELECTRICITY,12035038,12035038 -- UMC-FS-TENANT CLEARING,20,10431,25998, , , ,0,0,0,0,-8861.46,-8861.46,-8861.46,,8861.46,,0,8861.46,,0,0,8861.46,,-15245.67,0.58124438,,,,
1,998,REVENUES,SALES&SRVS EDUCATIONAL ACTIVTS,254847 -- SSEA GAS,12035038,12035038 -- UMC-FS-TENANT CLEARING,20,10431,25998, , , ,0,0,0,0,-1186.77,-1186.77,-1186.77,,1186.77,,0,1186.77,,0,0,1186.77,,-1768.13,0.67120065,,,,
1,998,REVENUES,SALES&SRVS EDUCATIONAL ACTIVTS,254848 -- SSEA TRASH FEE,12035038,12035038 -- UMC-FS-TENANT CLEARING,20,10431,25998, , , ,0,0,0,0,-1089.38,-1089.38,-1089.38,,1089.38,,0,1089.38,,0,0,1089.38,,-1852.11,0.58818321,,,,
1,998,REVENUES,SALES&SRVS EDUCATIONAL ACTIVTS,254849 -- SSEA WATER,12035038,12035038 -- UMC-FS-TENANT CLEARING,20,10431,25998, , , ,0,0,0,0,-1089.38,-1089.38,-1089.38,,1089.38,,0,1089.38,,0,0,1089.38,,-1800.67,0.60498592,,,,
1,998,REVENUES,SALES&SRVS EDUCATIONAL ACTIVTS,254850 -- SSEA PEST CONTROL,12035038,12035038 -- UMC-FS-TENANT CLEARING,20,10431,25998, , , ,0,0,0,0,-2178.77,-2178.77,-2178.77,,2178.77,,0,2178.77,,0,0,2178.77,,-3498.55,0.62276372,,,,
1,998,REVENUES,SALES&SRVS EDUCATIONAL ACTIVTS,254851 -- SSEA - LEAGUES,12028972,12028972 -- UMC GAMES AREA I,20,10437,15646, , , ,0,0,-2049,-2049,-795,-795,-795,0.38799414,-1254,0.61200586,0,-1254,0.61200586,0,0,-1254,0.61200586,-3125,0.2544,,,,
1,998,REVENUES,SALES&SRVS EDUCATIONAL ACTIVTS,254851 -- SSEA - LEAGUES,12035028,12035028 -- UMC GAMES-VIDEO GAMES,20,10437,25988, , , ,0,0,-100,-100,0,0,0,0,-100,1,0,-100,1,0,0,-100,1,0,,,,,
1,998,REVENUES,SALES&SRVS EDUCATIONAL ACTIVTS,254851 -- SSEA - LEAGUES,12030744,12030744 -- UMC GAMES AREA II,20,10437,15647, , , ,0,0,-228,-228,0,0,0,0,-228,1,0,-228,1,0,0,-228,1,-85,0,,,,
1,998,REVENUES,SALES&SRVS EDUCATIONAL ACTIVTS,254852 -- SSEA - MONDAY NIGHT BOWLING,12028972,12028972 -- UMC GAMES AREA I,20,10437,15646, , , ,0,0,-5324,-5324,-3523,-3523,-3523,0.66172051,-1801,0.33827949,0,-1801,0.33827949,0,0,-1801,0.33827949,-11652,0.30235153,,,,
1,998,REVENUES,SALES&SRVS EDUCATIONAL ACTIVTS,254853 -- SSEA FACULTY/STAFF,12028972,12028972 -- UMC GAMES AREA I,20,10437,15646, , , ,0,0,-2029,-2029,-790.45,-790.45,-790.45,0.38957615,-1238.55,0.61042385,0,-1238.55,0.61042385,0,0,-1238.55,0.61042385,-5188.62,0.15234301,,,,
1,998,REVENUES,SALES&SRVS EDUCATIONAL ACTIVTS,254853 -- SSEA FACULTY/STAFF,12030744,12030744 -- UMC GAMES AREA II,20,10437,15647, , , ,0,0,-145,-145,-209.73,-209.73,-209.73,1.44641379,64.73,-0.44641379,0,64.73,-0.44641379,0,0,64.73,-0.44641379,-814.58,0.25747011,,,,
1,998,REVENUES,SALES&SRVS EDUCATIONAL ACTIVTS,254853 -- SSEA FACULTY/STAFF,12001204,12001204 -- SHOE RENTAL,20,10437,66660, , , ,0,0,-870,-870,-344.5,-344.5,-344.5,0.39597701,-525.5,0.60402299,0,-525.5,0.60402299,0,0,-525.5,0.60402299,-2192.25,0.15714449,,,,
1,998,REVENUES,SALES&SRVS EDUCATIONAL ACTIVTS,254937 -- SSEA VENDING,12015850,12015850 -- UMC MAINT & OP I,20,10432,15630, , , ,0,0,0,0,-4386.04,-4386.04,-4386.04,,4386.04,,0,4386.04,,0,0,4386.04,,-3359.33,1.3056294,,,,
1,998,REVENUES,SALES&SRVS EDUCATIONAL ACTIVTS,254937 -- SSEA VENDING,12030744,12030744 -- UMC GAMES AREA II,20,10437,15647, , , ,0,0,-2000,-2000,-10953.45,-10953.45,-10953.45,5.476725,8953.45,-4.476725,0,8953.45,-4.476725,0,0,8953.45,-4.476725,-9286.79,1.17946567,,,,
1,998,REVENUES,SALES&SRVS EDUCATIONAL ACTIVTS,254937 -- SSEA VENDING,12035036,12035036 -- UMC-VENDING,20,10432,25996, , , ,0,0,-9500,-9500,-3235.37,-3235.37,-3235.37,0.34056526,-6264.63,0.65943474,0,-6264.63,0.65943474,0,0,-6264.63,0.65943474,-6073.74,0.53268168,,,,
1,998,REVENUES,SALES&SRVS EDUCATIONAL ACTIVTS,255000 -- SSEA REFUND,12010275,12010275 -- SUBWAY,20,10435,15637, , , ,0,0,0,0,0,0,0,,0,,0,0,,0,0,0,,662.18,0,,,,
1,998,REVENUES,SALES&SRVS EDUCATIONAL ACTIVTS,255000 -- SSEA REFUND,12035030,12035030 -- UMC-GAMES SP1,20,10437,25990, , , ,0,0,0,0,340,340,340,,-340,,0,-340,,0,0,-340,,350,0.97142857,250000 - 259997 -- SALES&SRVS EDUCATIONAL ACTIVTS,250000 - 259999 -- SALES&SRVS EDUCATIONAL ACTIVTS,,
1,998,REVENUES,AUXILLIARY ENTERPRISE REVENUE,280122 -- AUX MEAL PLANS,12035032,12035032 -- UMC-RENT-UMC ATMS,20,10432,25992, , , ,0,0,0,0,0,0,0,,0,,0,0,,0,0,0,,0,,280000 - 289997 -- AUXILLIARY ENTERPRISE REVENUE,280000 - 289999 -- AUXILLIARY ENTERPRISE REVENUE,,
1,998,REVENUES,RENTAL INCOME,320100 -- FACILITIES RENTAL INCOME,12074529,12074529 -- JAMBA JUICE,20,10431,41296, , , ,0,0,0,0,-12502.08,-12502.08,-12502.08,,12502.08,,0,12502.08,,0,0,12502.08,,-18174.31,0.68789847,,,,
1,998,REVENUES,RENTAL INCOME,320100 -- FACILITIES RENTAL INCOME,12021718,12021718 -- UMC FOOD SERV III,20,10431,15624, , , ,0,0,0,0,0,0,0,,0,,0,0,,0,0,0,,-28968.36,0,,,,
1,998,REVENUES,RENTAL INCOME,320100 -- FACILITIES RENTAL INCOME,12035031,12035031 -- UMC-RENT-UMC ROOMS,20,10432,25991, , , ,0,0,0,0,-15550,-15550,-15550,,15550,,0,15550,,0,0,15550,,-28280,0.54985856,,,,
1,998,REVENUES,RENTAL INCOME,320110 -- RENT - ASIAN FOOD,12021718,12021718 -- UMC FOOD SERV III,20,10431,15624, , , ,0,0,0,0,-42108.46,-42108.46,-42108.46,,42108.46,,0,42108.46,,0,0,42108.46,,-30510.54,1.38012831,,,,
1,998,REVENUES,RENTAL INCOME,320113 -- RENT - CASH RESOURCES,12035032,12035032 -- UMC-RENT-UMC ATMS,20,10432,25992, , , ,0,0,-34800,-34800,-34800,-34800,-34800,1,0,0,0,0,0,0,0,0,0,-34800,1,,,,
1,998,REVENUES,RENTAL INCOME,320113 -- RENT - CASH RESOURCES,12016080,12016080 -- UMC SUPPORT,20,10430,15619, , , ,0,0,0,0,0,0,0,,0,,0,0,,0,0,0,,0,,,,,
1,998,REVENUES,RENTAL INCOME,320114 -- RENT - CELESTIAL SEASONINGS,12021718,12021718 -- UMC FOOD SERV III,20,10431,15624, , , ,0,0,0,0,-8189.59,-8189.59,-8189.59,,8189.59,,0,8189.59,,0,0,8189.59,,-17750.26,0.46137859,,,,
1,998,REVENUES,RENTAL INCOME,320114 -- RENT - CELESTIAL SEASONINGS,12021719,12021719 -- UMC MAINT & OP III,20,10432,15627, , , ,0,0,0,0,0,0,0,,0,,0,0,,0,0,0,,0,,,,,
1,998,REVENUES,RENTAL INCOME,320118 -- RENT - CREDIT UNION,12021719,12021719 -- UMC MAINT & OP III,20,10432,15627, , , ,0,0,-48452,-48452,-51360,-51360,-51360,1.06001816,2908,-0.06001816,0,2908,-0.06001816,0,0,2908,-0.06001816,-52312.01,0.98180131,,,,
1,998,REVENUES,RENTAL INCOME,320119 -- RENT - DOMINO'S PIZZA,12021718,12021718 -- UMC FOOD SERV III,20,10431,15624, , , ,0,0,0,0,-2010.15,-2010.15,-2010.15,,2010.15,,0,2010.15,,0,0,2010.15,,0,,,,,
1,998,REVENUES,RENTAL INCOME,320122 -- RENT - NON-ACADEMIC ROOMS,12035031,12035031 -- UMC-RENT-UMC ROOMS,20,10432,25991, , , ,0,0,-139639,-139639,-21900,-21900,-21900,0.15683298,-117739,0.84316702,0,-117739,0.84316702,0,0,-117739,0.84316702,-55005,0.39814562,,,,
1,998,REVENUES,RENTAL INCOME,320127 -- RENT - SUBWAY,12021718,12021718 -- UMC FOOD SERV III,20,10431,15624, , , ,0,0,0,0,-33028.78,-33028.78,-33028.78,,33028.78,,0,33028.78,,0,0,33028.78,,-56268.22,0.58698818,,,,
1,998,REVENUES,RENTAL INCOME,320129 -- RENT - US BANK,12035032,12035032 -- UMC-RENT-UMC ATMS,20,10432,25992, , , ,0,0,-35000,-35000,-32910.54,-32910.54,-32910.54,0.94030114,-2089.46,0.05969886,0,-2089.46,0.05969886,0,0,-2089.46,0.05969886,-35386.34,0.93003515,,,,
1,998,REVENUES,RENTAL INCOME,320134 -- RENT - PEACE CORPS,12021719,12021719 -- UMC MAINT & OP III,20,10432,15627, , , ,0,0,-5387,-5387,-5387.3,-5387.3,-5387.3,1.00005569,0.3,-0.00005569,0,0.3,-0.00005569,0,0,0.3,-0.00005569,-5387.3,1,320000 - 321997 -- RENTAL INCOME,320000 - 321999 -- RENTAL INCOME,,
1,998,REVENUES,MISCELLANEOUS INCOME,325400 -- INSURANCE RECOVERIES,12014330,12014330 -- NIGHT WALK NIGHT RID,20,10436,15642, , , ,0,0,0,0,-14649.17,-14649.17,-14649.17,,14649.17,,0,14649.17,,0,0,14649.17,,-17949.46,0.8161343,,,,
