PAGEBY1,PAGEBY2,ACCTTREE LEVEL02,ACCTTREE L02,ACCTTREE LEVEL03,ACCTTREE LEVEL04,ACCTTREE LEVEL05,ACCTTREE LEVEL06,ACCT,MTREF,MTREF VALUE,MTREF VALUE DESC,ACCT CODE,DESC,DESC,BUDGET,ACTUALS,ENCUMB,BAE CODE,SPDTYPE CODE,SPDTYPE DESC,FND,ORG,PGM,BU PC,PROJ,ACT,SUB,EPC,EXP PURPOSE DESC,POSN,JB CODE,JB DESC,REF,PO,INV ID,INV DATE,PAYCHECK NUM,VNDR,SRC,LN#,JRNL ID,JRNL DATE,FY,PD,POSTED DATE,PET OPER ID,PET DATE,PET SEQ NUM
 , ,200000 - 999999 -- INCOME STATEMENT,INCOME STATEMENT,400000 - 989999 -- EXPENDITURES,400000 - 418399 -- SALARIES AND WAGES,407500 - 409999 -- STD & OTH PER SAL,407500 - 407699 -- STD HR PAY,407600 -- STD HR PAY, , , ,407600,PAYROLL ACCRUAL FOR PAY1572362,,,-3727.5,,ACTUALS,12010513,KVCU,20,10459,16079, , , , ,1500,STUDENT SERVICES, , , , , , ,, , ,PAY,896,PAYACR2362,7/1/2020 0:00,2021,1,7/8/2020 0:00, ,, 
 , ,200000 - 999999 -- INCOME STATEMENT,INCOME STATEMENT,400000 - 989999 -- EXPENDITURES,400000 - 418399 -- SALARIES AND WAGES,407500 - 409999 -- STD & OTH PER SAL,407500 - 407699 -- STD HR PAY,407600 -- STD HR PAY, , , ,407600,HR PAYROLL JOURNAL TRANSACTION,,,216.4,,ACTUALS,12010513,KVCU,20,10459,16079, , , , ,1500,STUDENT SERVICES,625037,4102,STUDENT ASST II, , , ,7/15/2017 0:00,6316767, ,PAY,1139,PAY1306902,7/28/2017 0:00,2018,1,7/24/2017 0:00, ,, 
 , ,200000 - 999999 -- INCOME STATEMENT,INCOME STATEMENT,400000 - 989999 -- EXPENDITURES,400000 - 418399 -- SALARIES AND WAGES,407500 - 409999 -- STD & OTH PER SAL,407500 - 407699 -- STD HR PAY,407600 -- STD HR PAY, , , ,407600,HR PAYROLL JOURNAL TRANSACTION,,,75.74,,ACTUALS,12010513,KVCU,20,10459,16079, , , , ,1500,STUDENT SERVICES,625037,4102,STUDENT ASST II, , , ,7/29/2017 0:00,6322157, ,PAY,1129,PAY1309870,8/11/2017 0:00,2018,2,8/4/2017 0:00, ,, 
 , ,200000 - 999999 -- INCOME STATEMENT,INCOME STATEMENT,400000 - 989999 -- EXPENDITURES,400000 - 418399 -- SALARIES AND WAGES,407500 - 409999 -- STD & OTH PER SAL,407500 - 407699 -- STD HR PAY,407600 -- STD HR PAY, , , ,407600,HR PAYROLL JOURNAL TRANSACTION,,,324.6,,ACTUALS,12010513,KVCU,20,10459,16079, , , , ,1500,STUDENT SERVICES,629733,4102,STUDENT ASST II, , , ,7/15/2017 0:00,6318798, ,PAY,1139,PAY1306902,7/28/2017 0:00,2018,1,7/24/2017 0:00, ,, 
 , ,200000 - 999999 -- INCOME STATEMENT,INCOME STATEMENT,400000 - 989999 -- EXPENDITURES,400000 - 418399 -- SALARIES AND WAGES,407500 - 409999 -- STD & OTH PER SAL,407500 - 407699 -- STD HR PAY,407600 -- STD HR PAY, , , ,407600,HR PAYROLL JOURNAL TRANSACTION,,,151.48,,ACTUALS,12010513,KVCU,20,10459,16079, , , , ,1500,STUDENT SERVICES,629733,4102,STUDENT ASST II, , , ,7/29/2017 0:00,6324157, ,PAY,1129,PAY1309870,8/11/2017 0:00,2018,2,8/4/2017 0:00, ,, 
 , ,200000 - 999999 -- INCOME STATEMENT,INCOME STATEMENT,400000 - 989999 -- EXPENDITURES,400000 - 418399 -- SALARIES AND WAGES,407500 - 409999 -- STD & OTH PER SAL,407500 - 407699 -- STD HR PAY,407600 -- STD HR PAY, , , ,407600,HR PAYROLL JOURNAL TRANSACTION,,,324.6,,ACTUALS,12010513,KVCU,20,10459,16079, , , , ,1500,STUDENT SERVICES,625037,4101,STUDENT ASST I, , , ,2/10/2018 0:00,6576793, ,PAY,1173,PAY1354596,2/23/2018 0:00,2018,8,2/16/2018 0:00, ,, 
 , ,200000 - 999999 -- INCOME STATEMENT,INCOME STATEMENT,400000 - 989999 -- EXPENDITURES,400000 - 418399 -- SALARIES AND WAGES,407500 - 409999 -- STD & OTH PER SAL,407500 - 407699 -- STD HR PAY,407600 -- STD HR PAY, , , ,407600,HR PAYROLL JOURNAL TRANSACTION,,,227.22,,ACTUALS,12010513,KVCU,20,10459,16079, , , , ,1500,STUDENT SERVICES,625037,4101,STUDENT ASST I, , , ,2/24/2018 0:00,6611680, ,PAY,1182,PAY1358356,3/9/2018 0:00,2018,9,3/2/2018 0:00, ,, 
 , ,200000 - 999999 -- INCOME STATEMENT,INCOME STATEMENT,400000 - 989999 -- EXPENDITURES,400000 - 418399 -- SALARIES AND WAGES,407500 - 409999 -- STD & OTH PER SAL,407500 - 407699 -- STD HR PAY,407600 -- STD HR PAY, , , ,407600,HR PAYROLL JOURNAL TRANSACTION,,,324.6,,ACTUALS,12010513,KVCU,20,10459,16079, , , , ,1500,STUDENT SERVICES,625037,4101,STUDENT ASST I, , , ,4/7/2018 0:00,6661913, ,PAY,1165,PAY1370254,4/20/2018 0:00,2018,10,4/13/2018 0:00, ,, 
 , ,200000 - 999999 -- INCOME STATEMENT,INCOME STATEMENT,400000 - 989999 -- EXPENDITURES,400000 - 418399 -- SALARIES AND WAGES,407500 - 409999 -- STD & OTH PER SAL,407500 - 407699 -- STD HR PAY,407600 -- STD HR PAY, , , ,407600,HR PAYROLL JOURNAL TRANSACTION,,,324.6,,ACTUALS,12010513,KVCU,20,10459,16079, , , , ,1500,STUDENT SERVICES,625037,4101,STUDENT ASST I, , , ,4/21/2018 0:00,6696961, ,PAY,1142,PAY1373946,5/4/2018 0:00,2018,11,4/27/2018 0:00, ,, 
 , ,200000 - 999999 -- INCOME STATEMENT,INCOME STATEMENT,400000 - 989999 -- EXPENDITURES,400000 - 418399 -- SALARIES AND WAGES,407500 - 409999 -- STD & OTH PER SAL,407500 - 407699 -- STD HR PAY,407600 -- STD HR PAY, , , ,407600,HR PAYROLL JOURNAL TRANSACTION,,,324.6,,ACTUALS,12010513,KVCU,20,10459,16079, , , , ,1500,STUDENT SERVICES,625037,4101,STUDENT ASST I, , , ,5/19/2018 0:00,6738299, ,PAY,1071,PAY1380428,6/1/2018 0:00,2018,12,5/25/2018 0:00, ,, 
 , ,200000 - 999999 -- INCOME STATEMENT,INCOME STATEMENT,400000 - 989999 -- EXPENDITURES,400000 - 418399 -- SALARIES AND WAGES,407500 - 409999 -- STD & OTH PER SAL,407500 - 407699 -- STD HR PAY,407600 -- STD HR PAY, , , ,407600,HR PAYROLL JOURNAL TRANSACTION,,,324.6,,ACTUALS,12010513,KVCU,20,10459,16079, , , , ,1500,STUDENT SERVICES,625037,4101,STUDENT ASST I, , , ,6/2/2018 0:00,6743540, ,PAY,1084,PAY1384454,6/15/2018 0:00,2018,12,6/8/2018 0:00, ,, 
 , ,200000 - 999999 -- INCOME STATEMENT,INCOME STATEMENT,400000 - 989999 -- EXPENDITURES,400000 - 418399 -- SALARIES AND WAGES,407500 - 409999 -- STD & OTH PER SAL,407500 - 407699 -- STD HR PAY,407600 -- STD HR PAY, , , ,407600,HR PAYROLL JOURNAL TRANSACTION,,,324.6,,ACTUALS,12010513,KVCU,20,10459,16079, , , , ,1500,STUDENT SERVICES,625037,4101,STUDENT ASST I, , , ,6/16/2018 0:00,6772925, ,PAY,1181,PAY1388767,6/29/2018 0:00,2018,12,6/22/2018 0:00, ,, 
 , ,200000 - 999999 -- INCOME STATEMENT,INCOME STATEMENT,400000 - 989999 -- EXPENDITURES,400000 - 418399 -- SALARIES AND WAGES,407500 - 409999 -- STD & OTH PER SAL,407500 - 407699 -- STD HR PAY,407600 -- STD HR PAY, , , ,407600,HR PAYROLL JOURNAL TRANSACTION,,,432.8,,ACTUALS,12010513,KVCU,20,10459,16079, , , , ,1500,STUDENT SERVICES,625037,4101,STUDENT ASST I, , , ,7/14/2018 0:00,6783211, ,PAY,1188,PAY1399507,7/27/2018 0:00,2019,1,7/20/2018 0:00, ,, 
 , ,200000 - 999999 -- INCOME STATEMENT,INCOME STATEMENT,400000 - 989999 -- EXPENDITURES,400000 - 418399 -- SALARIES AND WAGES,407500 - 409999 -- STD & OTH PER SAL,407500 - 407699 -- STD HR PAY,407600 -- STD HR PAY, , , ,407600,HR PAYROLL JOURNAL TRANSACTION,,,216.4,,ACTUALS,12010513,KVCU,20,10459,16079, , , , ,1500,STUDENT SERVICES,625037,4101,STUDENT ASST I, , , ,7/28/2018 0:00,6813358, ,PAY,1160,PAY1403379,8/10/2018 0:00,2019,2,8/3/2018 0:00, ,, 
 , ,200000 - 999999 -- INCOME STATEMENT,INCOME STATEMENT,400000 - 989999 -- EXPENDITURES,400000 - 418399 -- SALARIES AND WAGES,407500 - 409999 -- STD & OTH PER SAL,407500 - 407699 -- STD HR PAY,407600 -- STD HR PAY, , , ,407600,HR PAYROLL JOURNAL TRANSACTION,,,173.12,,ACTUALS,12010513,KVCU,20,10459,16079, , , , ,1500,STUDENT SERVICES,625037,4101,STUDENT ASST I, , , ,8/11/2018 0:00,6818382, ,PAY,1173,PAY1406363,8/24/2018 0:00,2019,2,8/17/2018 0:00, ,, 
 , ,200000 - 999999 -- INCOME STATEMENT,INCOME STATEMENT,400000 - 989999 -- EXPENDITURES,400000 - 418399 -- SALARIES AND WAGES,407500 - 409999 -- STD & OTH PER SAL,407500 - 407699 -- STD HR PAY,407600 -- STD HR PAY, , , ,407600,HR PAYROLL JOURNAL TRANSACTION,,,117.84,,ACTUALS,12010513,KVCU,20,10459,16079, , , , ,1500,STUDENT SERVICES,622916,4101,STUDENT ASST I, , , ,7/15/2017 0:00,6316708, ,PAY,1139,PAY1306902,7/28/2017 0:00,2018,1,7/24/2017 0:00, ,, 
 , ,200000 - 999999 -- INCOME STATEMENT,INCOME STATEMENT,400000 - 989999 -- EXPENDITURES,400000 - 418399 -- SALARIES AND WAGES,407500 - 409999 -- STD & OTH PER SAL,407500 - 407699 -- STD HR PAY,407600 -- STD HR PAY, , , ,407600,HR PAYROLL JOURNAL TRANSACTION,,,176.76,,ACTUALS,12010513,KVCU,20,10459,16079, , , , ,1500,STUDENT SERVICES,622916,4101,STUDENT ASST I, , , ,7/29/2017 0:00,6322100, ,PAY,1129,PAY1309870,8/11/2017 0:00,2018,2,8/4/2017 0:00, ,, 
 , ,200000 - 999999 -- INCOME STATEMENT,INCOME STATEMENT,400000 - 989999 -- EXPENDITURES,400000 - 418399 -- SALARIES AND WAGES,407500 - 409999 -- STD & OTH PER SAL,407500 - 407699 -- STD HR PAY,407600 -- STD HR PAY, , , ,407600,HR PAYROLL JOURNAL TRANSACTION,,,147.3,,ACTUALS,12010513,KVCU,20,10459,16079, , , , ,1500,STUDENT SERVICES,622916,4101,STUDENT ASST I, , , ,8/12/2017 0:00,6326933, ,PAY,1122,PAY1312798,8/25/2017 0:00,2018,2,8/18/2017 0:00, ,, 
 , ,200000 - 999999 -- INCOME STATEMENT,INCOME STATEMENT,400000 - 989999 -- EXPENDITURES,400000 - 418399 -- SALARIES AND WAGES,407500 - 409999 -- STD & OTH PER SAL,407500 - 407699 -- STD HR PAY,407600 -- STD HR PAY, , , ,407600,HR PAYROLL JOURNAL TRANSACTION,,,88.38,,ACTUALS,12010513,KVCU,20,10459,16079, , , , ,1500,STUDENT SERVICES,622916,4101,STUDENT ASST I, , , ,8/26/2017 0:00,6356143, ,PAY,997,PAY1316469,9/8/2017 0:00,2018,3,9/1/2017 0:00, ,, 
 , ,200000 - 999999 -- INCOME STATEMENT,INCOME STATEMENT,400000 - 989999 -- EXPENDITURES,400000 - 418399 -- SALARIES AND WAGES,407500 - 409999 -- STD & OTH PER SAL,407500 - 407699 -- STD HR PAY,407600 -- STD HR PAY, , , ,407600,HR PAYROLL JOURNAL TRANSACTION,,,58.92,,ACTUALS,12010513,KVCU,20,10459,16079, , , , ,1500,STUDENT SERVICES,622916,4101,STUDENT ASST I, , , ,9/9/2017 0:00,6362432, ,PAY,1114,PAY1319749,9/22/2017 0:00,2018,3,9/18/2017 0:00, ,, 
 , ,200000 - 999999 -- INCOME STATEMENT,INCOME STATEMENT,400000 - 989999 -- EXPENDITURES,400000 - 418399 -- SALARIES AND WAGES,407500 - 409999 -- STD & OTH PER SAL,407500 - 407699 -- STD HR PAY,407600 -- STD HR PAY, , , ,407600,HR PAYROLL JOURNAL TRANSACTION,,,166.94,,ACTUALS,12010513,KVCU,20,10459,16079, , , , ,1500,STUDENT SERVICES,622916,4101,STUDENT ASST I, , , ,9/23/2017 0:00,6395579, ,PAY,1106,PAY1322973,10/6/2017 0:00,2018,4,9/29/2017 0:00, ,, 
 , ,200000 - 999999 -- INCOME STATEMENT,INCOME STATEMENT,400000 - 989999 -- EXPENDITURES,400000 - 418399 -- SALARIES AND WAGES,407500 - 409999 -- STD & OTH PER SAL,407500 - 407699 -- STD HR PAY,407600 -- STD HR PAY, , , ,407600,HR PAYROLL JOURNAL TRANSACTION,,,166.94,,ACTUALS,12010513,KVCU,20,10459,16079, , , , ,1500,STUDENT SERVICES,622916,4101,STUDENT ASST I, , , ,10/7/2017 0:00,6403158, ,PAY,1169,PAY1326525,10/20/2017 0:00,2018,4,10/13/2017 0:00, ,, 
 , ,200000 - 999999 -- INCOME STATEMENT,INCOME STATEMENT,400000 - 989999 -- EXPENDITURES,400000 - 418399 -- SALARIES AND WAGES,407500 - 409999 -- STD & OTH PER SAL,407500 - 407699 -- STD HR PAY,407600 -- STD HR PAY, , , ,407600,HR PAYROLL JOURNAL TRANSACTION,,,117.84,,ACTUALS,12010513,KVCU,20,10459,16079, , , , ,1500,STUDENT SERVICES,622916,4101,STUDENT ASST I, , , ,10/21/2017 0:00,6437914, ,PAY,1163,PAY1330061,11/3/2017 0:00,2018,5,10/27/2017 0:00, ,, 
 , ,200000 - 999999 -- INCOME STATEMENT,INCOME STATEMENT,400000 - 989999 -- EXPENDITURES,400000 - 418399 -- SALARIES AND WAGES,407500 - 409999 -- STD & OTH PER SAL,407500 - 407699 -- STD HR PAY,407600 -- STD HR PAY, , , ,407600,HR PAYROLL JOURNAL TRANSACTION,,,174.31,,ACTUALS,12010513,KVCU,20,10459,16079, , , , ,1500,STUDENT SERVICES,622916,4101,STUDENT ASST I, , , ,11/4/2017 0:00,6445886, ,PAY,1175,PAY1333593,11/17/2017 0:00,2018,5,11/10/2017 0:00, ,, 
 , ,200000 - 999999 -- INCOME STATEMENT,INCOME STATEMENT,400000 - 989999 -- EXPENDITURES,400000 - 418399 -- SALARIES AND WAGES,407500 - 409999 -- STD & OTH PER SAL,407500 - 407699 -- STD HR PAY,407600 -- STD HR PAY, , , ,407600,HR PAYROLL JOURNAL TRANSACTION,,,174.31,,ACTUALS,12010513,KVCU,20,10459,16079, , , , ,1500,STUDENT SERVICES,622916,4101,STUDENT ASST I, , , ,11/18/2017 0:00,6480565, ,PAY,1118,PAY1336555,12/1/2017 0:00,2018,6,11/27/2017 0:00, ,, 
 , ,200000 - 999999 -- INCOME STATEMENT,INCOME STATEMENT,400000 - 989999 -- EXPENDITURES,400000 - 418399 -- SALARIES AND WAGES,407500 - 409999 -- STD & OTH PER SAL,407500 - 407699 -- STD HR PAY,407600 -- STD HR PAY, , , ,407600,HR PAYROLL JOURNAL TRANSACTION,,,88.38,,ACTUALS,12010513,KVCU,20,10459,16079, , , , ,1500,STUDENT SERVICES,622916,4101,STUDENT ASST I, , , ,12/2/2017 0:00,6488314, ,PAY,1157,PAY1339749,12/15/2017 0:00,2018,6,12/8/2017 0:00, ,, 
 , ,200000 - 999999 -- INCOME STATEMENT,INCOME STATEMENT,400000 - 989999 -- EXPENDITURES,400000 - 418399 -- SALARIES AND WAGES,407500 - 409999 -- STD & OTH PER SAL,407500 - 407699 -- STD HR PAY,407600 -- STD HR PAY, , , ,407600,HR PAYROLL JOURNAL TRANSACTION,,,169.4,,ACTUALS,12010513,KVCU,20,10459,16079, , , , ,1500,STUDENT SERVICES,622916,4101,STUDENT ASST I, , , ,12/16/2017 0:00,6522825, ,PAY,1105,PAY1342852,12/29/2017 0:00,2018,6,12/22/2017 0:00, ,, 
 , ,200000 - 999999 -- INCOME STATEMENT,INCOME STATEMENT,400000 - 989999 -- EXPENDITURES,400000 - 418399 -- SALARIES AND WAGES,407500 - 409999 -- STD & OTH PER SAL,407500 - 407699 -- STD HR PAY,407600 -- STD HR PAY, , , ,407600,HR PAYROLL JOURNAL TRANSACTION,,,29.46,,ACTUALS,12010513,KVCU,20,10459,16079, , , , ,1500,STUDENT SERVICES,622916,4101,STUDENT ASST I, , , ,12/30/2017 0:00,6529941, ,PAY,793,PAY1344960,1/12/2018 0:00,2018,7,1/5/2018 0:00, ,, 
 , ,200000 - 999999 -- INCOME STATEMENT,INCOME STATEMENT,400000 - 989999 -- EXPENDITURES,400000 - 418399 -- SALARIES AND WAGES,407500 - 409999 -- STD & OTH PER SAL,407500 - 407699 -- STD HR PAY,407600 -- STD HR PAY, , , ,407600,HR PAYROLL JOURNAL TRANSACTION,,,9.12,,ACTUALS,12010513,KVCU,20,10459,16079, , , , ,1500,STUDENT SERVICES,622916,4101,STUDENT ASST I, , , ,1/18/2018 0:00,6563999, ,PAY,145,PAY1348761,1/26/2018 0:00,2018,7,1/24/2018 0:00, ,, 
 , ,200000 - 999999 -- INCOME STATEMENT,INCOME STATEMENT,400000 - 989999 -- EXPENDITURES,400000 - 418399 -- SALARIES AND WAGES,407500 - 409999 -- STD & OTH PER SAL,407500 - 407699 -- STD HR PAY,407600 -- STD HR PAY, , , ,407600,HR PAYROLL JOURNAL TRANSACTION,,,117.84,,ACTUALS,12010513,KVCU,20,10459,16079, , , , ,1500,STUDENT SERVICES,622916,4101,STUDENT ASST I, , , ,1/13/2018 0:00,6534253, ,PAY,805,PAY1347792,1/26/2018 0:00,2018,7,1/19/2018 0:00, ,, 
